strain,genome,family,gene,product,go_function,ontology_term
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000942525.1,,DNA cytosine methyltransferase,"DNA binding|0003677||IEA,DNA (cytosine-5-)-methyltransferase activity|0003886||IEA,methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA","GO:0006304,GO:0003677,GO:0003886,GO:0008168,GO:1904047"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000943913.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000974855.1,,prophage tail fiber N-terminal domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000991478.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001025459.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001142000.1,,YlcI/YnfO family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001178089.1,,CopG family ribbon-helix-helix protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001247860.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001278179.1,,phage tail protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001287093.1,,phage late control protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001294589.1,,putative holin,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001301130.1,yldA,small membrane protein YldA,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001308457.1,dinQ,damage-inducible type I toxin DinQ,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001367167.1,,tyrosine-type recombinase/integrase,DNA binding|0003677||IEA,"GO:0006310,GO:0015074,GO:0003677"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001373171.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001384452.1,yacB,type II toxin-antitoxin system toxin YacB,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001444700.1,,HNH endonuclease,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA","GO:0003676,GO:0004519,GO:0008270"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001457151.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001458941.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001559300.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001559319.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001559328.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_001567061.1,,P22AR C-terminal domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_012138675.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_012565126.1,gpW,gpW family head-tail joining protein,,GO:0019058
RM9387,GCF_000801165.1,GCF_000801165.1|WP_012605149.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_012817901.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_021560858.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_023155453.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_023155796.1,,Wadjet anti-phage system protein JetD domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_024166640.1,,phosphorothioated DNA-binding restriction endonuclease,restriction endodeoxyribonuclease activity|0015666||IEA,"GO:0009307,GO:0015666"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_024192804.1,,HlyD family secretion protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_028985345.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_028985346.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032141712.1,,RHS repeat-associated core domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032141714.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032144652.1,,colicin V family bacteriocin,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032145180.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032186128.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032186130.1,,transposase,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032186133.1,,TrlF family AAA-like ATPase,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032214561.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_032291790.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_033806466.1,pilO2,type 4b pilus protein PilO2,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_033812026.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264342.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264343.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264344.1,,membrane protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264394.1,,DnaT-like ssDNA-binding domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264426.1,,phage portal protein,structural molecule activity|0005198||IEA,"GO:0019068,GO:0005198,GO:0044423"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264464.1,,phage major tail tube protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264465.1,,phage tail sheath C-terminal domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264470.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264472.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264473.1,,head-tail joining protein,,GO:0019068
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264474.1,gpFI,DNA-packaging protein FI,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264476.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264480.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264481.1,,GIY-YIG nuclease family protein,nuclease activity|0004518||IEA,GO:0004518
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264482.1,,lysozyme inhibitor LprI family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264483.1,,ORF6N domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264484.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264486.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264487.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264488.1,,toxin YdaT family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264489.1,,DUF4224 domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_039264586.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_040116956.1,cvi,colicin V immunity protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_040116960.1,repA,plasmid replication initiator RepA,,GO:0006276
RM9387,GCF_000801165.1,GCF_000801165.1|WP_040116989.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_052214792.1,,ISAs1 family transposase,transposase activity|0004803||IEA,GO:0004803
RM9387,GCF_000801165.1,GCF_000801165.1|WP_071791986.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_071885013.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_087614013.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_106425492.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_122996077.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_140398125.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_169124752.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_179206415.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_187292991.1,gpJ,TipJ family phage tail tip protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_187292994.1,,phage tail tip protein J-related protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_223718779.1,,terminase small subunit,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_224695425.1,,phage tail protein,,GO:0098024
RM9387,GCF_000801165.1,GCF_000801165.1|WP_224695433.1,,superinfection immunity protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_244462510.1,,phage tail tip protein J-related protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_244462511.1,,phage tail protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_244462513.1,,DUF1380 family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_244462514.1,,DUF1380 family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_306459307.1,,phage baseplate assembly protein V,metal ion binding|0046872||IEA,"GO:0098003,GO:0046872,GO:0098025"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_430515483.1,gpJ,TipJ family phage tail tip protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_430515484.1,,phage tail tip protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000005468.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000006271.1,dbpB,DGQHR domain-containing protein DpdB,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000038919.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000040320.1,dpdA,tRNA-guanine transglycosylase DpdA,glycosyltransferase activity|0016757||IEA,"GO:0006400,GO:0016757"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000061147.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000078438.1,,MFS transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000103621.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000113645.1,,phage terminase small subunit P27 family,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000126663.1,,single-stranded DNA-binding protein,single-stranded DNA binding|0003697||IEA,"GO:0006260,GO:0003697"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000134113.1,,head-tail connector protein,,GO:0016032
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000147364.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000174068.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000200503.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000202167.1,,DUF4123 domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000204742.1,rfaL,O-antigen ligase RfaL,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000209422.1,dpdI,protein DpdI,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000214990.1,,response regulator receiver domain,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000220092.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000227812.1,,lipopolysaccharide N-acetylglucosaminyltransferase,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000236763.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000256226.1,,AAA domain-containing protein,helicase activity|0004386||IEA,GO:0004386
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000264514.1,,phospholipase effector Tle1 domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000267604.1,,phage portal protein,structural molecule activity|0005198||IEA,"GO:0019068,GO:0005198,GO:0044423"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000276887.1,,MucR family transcriptional regulator,"DNA binding|0003677||IEA,zinc ion binding|0008270||IEA","GO:0006355,GO:0003677,GO:0008270"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000287892.1,,YagK/YfjJ domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000323309.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000332368.1,dpdD,protein DpdD,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000334995.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000399648.1,,IS110-like element IS621 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000410810.1,,RecQ family ATP-dependent DNA helicase,"DNA binding|0003677||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,3'-5' DNA helicase activity|0043138||IEA","GO:0006281,GO:0003677,GO:0005524,GO:0016887,GO:0043138"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000431483.1,dpdF,protein DpdF,nucleic acid binding|0003676||IEA,GO:0003676
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000448925.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000500956.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000522561.1,,DUF3304 domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000526430.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000539306.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000543626.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000553979.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000559922.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000575285.1,dpdH,protein DpdH,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000577254.1,,ATP-binding protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000649041.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000675892.1,dpdJ,protein DpdJ,nucleic acid binding|0003676||IEA,GO:0003676
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000690895.1,tssK,type VI secretion system baseplate subunit TssK,,GO:0033103
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000712314.1,tssL,type VI secretion system protein TssL%2C short form,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000737404.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000764083.1,,transglycosylase SLT domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000789404.1,,type VI secretion system-associated protein TagO,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000794367.1,,BRO-N domain-containing protein,DNA binding|0003677||IEA,GO:0003677
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000796959.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000798060.1,hyxB,outer membrane autotransporter HyxB,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000836746.1,,glycoside hydrolase family 108 protein,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA,GO:0004553
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000846261.1,,aldose 1-epimerase,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000859017.1,,HTH domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000867987.1,,CatB-related O-acetyltransferase,acyltransferase activity|0016746||IEA,"GO:0046677,GO:0016746"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000878014.1,,IS110 family transposase,transposase activity|0004803||IEA,GO:0004803
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000953271.1,,helix-turn-helix transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000960006.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000977390.1,,DUF4198 domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000990552.1,,DUF3969 family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_000997067.1,,Hcp family type VI secretion system effector,,GO:0033103
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001018786.1,dpdG,protein DpdG,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001032733.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001056888.1,,phage antirepressor N-terminal domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001065352.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001100987.1,,glycosyltransferase family 9 protein,glycosyltransferase activity|0016757||IEA,GO:0016757
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001142405.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001145249.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001145905.1,,HNH endonuclease signature motif containing protein,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA","GO:0003676,GO:0004519,GO:0008270"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001173927.1,,zinc ribbon domain-containing protein,zinc ion binding|0008270||IEA,GO:0008270
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001189111.1,ltrA,group II intron reverse transcriptase/maturase,RNA-directed DNA polymerase activity|0003964||IEA,"GO:0000373,GO:0003964"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001200462.1,,AAA family ATPase,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA","GO:0005524,GO:0016887"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001246539.1,,OmpA family protein,"porin activity|0015288||IEA,peptidoglycan binding|0042834||IEA","GO:0015288,GO:0042834,GO:0009279"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001289967.1,,ead/Ea22-like family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001299026.1,,Bax inhibitor-1 family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001303900.1,,IS1-like element transposase,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001306377.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001315275.1,hyxR,LuxR family transcriptional regulator HyxR,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001315988.1,dpdE,protein DpdE,ATP binding|0005524||IEA,GO:0005524
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001315991.1,,YagK/YfjJ domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001364171.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001364204.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001367978.1,,YagK/YfjJ domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001376509.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001390705.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001391592.1,,IS1 family transposase,"DNA binding|0003677||IEA,transposase activity|0004803||IEA","GO:0006313,GO:0003677,GO:0004803"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001398805.1,,DNA-processing protein DprA,DNA/DNA annealing activity|1990814||IEA,"GO:0009294,GO:1990814"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001406334.1,hyxA,protein HyxA,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001446456.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001578623.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001701050.1,,HNH endonuclease,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA","GO:0003676,GO:0004519,GO:0008270"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_001763232.1,,IS1 family transposase,"DNA binding|0003677||IEA,transposase activity|0004803||IEA","GO:0006313,GO:0003677,GO:0004803"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293056.1,,recombinase family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293058.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293063.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293090.1,,phage tail protein,,"GO:0019062,GO:0046718"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293107.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293110.1,,DUF927 domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293132.1,,GmrSD restriction endonuclease domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293137.1,,esterase-like activity of phytase family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293226.1,,Rha family transcriptional regulator,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293227.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293344.1,,AAA domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293345.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293365.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293378.1,,VasL domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293394.1,,tyrosine-type recombinase/integrase,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293439.1,,SPFH domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293440.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293441.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293442.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293454.1,dpdK,phospholipase D-like domain-containing protein DpdK,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293489.1,,phage major capsid protein,structural molecule activity|0005198||IEA,"GO:0019068,GO:0005198,GO:0044423"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021293490.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_021578710.1,,type VI secretion system Vgr family protein,,"GO:0033103,GO:0033104"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_024177317.1,,3'-5' exonuclease,"ATP binding|0005524||IEA,hydrolase activity|0016787||IEA","GO:0005524,GO:0016787"
94-3024,GCF_000801185.2,GCF_000801185.2|WP_024190854.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
94-3024,GCF_000801185.2,GCF_000801185.2|WP_024199668.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_024199692.1,,DUF5406 family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_024199769.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_032149715.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_032150120.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_032317051.1,,PAAR domain-containing protein,zinc ion binding|0008270||IEA,GO:0008270
94-3024,GCF_000801185.2,GCF_000801185.2|WP_032317171.1,,PAAR/RHS domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_039259893.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_039259895.1,,Rha family phage regulatory protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_040118366.1,,DotA/TraY family protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_040118372.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_040118377.1,pilO2,type 4b pilus protein PilO2,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_071883250.1,,prepilin-type N-terminal cleavage/methylation domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_129560323.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_148935988.1,,conjugal transfer protein TraT,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_148936795.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_157903494.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_172968413.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_187642537.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_244469305.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_249399658.1,,PAAR domain-containing protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_306292336.1,,arginase,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_306308498.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_418886025.1,,hypothetical protein,,
94-3024,GCF_000801185.2,GCF_000801185.2|WP_418886155.1,lysC,Rz1-like lysis system protein LysC,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_000026224.1,,hypothetical protein,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_000172051.1,,hypothetical protein,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_000256575.1,,hypothetical protein,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_000889232.1,,hypothetical protein,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_001092355.1,,DNA-directed RNA polymerase,,
C41(DE3),GCF_000830035.1,GCF_000830035.1|WP_071842248.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000002107.1,,ASCH domain-containing protein,RNA binding|0003723||IEA,GO:0003723
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000113283.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000204789.1,,acyltransferase family protein,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,GO:0016747
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000394418.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000603805.1,,acyltransferase family protein,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,GO:0016747
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_000762846.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_001104982.1,,tail fiber assembly protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_001305068.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_012775983.1,,hypothetical protein,,
BL21 (TaKaRa),GCF_000833145.1,GCF_000833145.1|WP_225089326.1,,hypothetical protein,,
USML2,GCF_000833635.2,GCF_000833635.2|WP_006250222.1,,IS4-like element ISVsa5 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
USML2,GCF_000833635.2,GCF_000833635.2|WP_072042501.1,,hypothetical protein,,
